y_ear,C_ountry
1/16/2022,Cameroon
1/17/2022,Cameroon
1/18/2022,Cameroon
1/19/2022,Cameroon
1/20/2022,Cameroon
1/23/2022,Cameroon
1/24/2022,Cameroon
1/25/2022,Cameroon
1/26/2022,Cameroon
1/29/2022,Cameroon
1/30/2022,Cameroon
2/2/2022,Cameroon
2/3/2022,Cameroon
2/5/2022,Cameroon
2/6/2022,Cameroon
